stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
20001001,1001,,Adams Avenue - Hot Pools,"12 Adams Avenue, Mount Maunganui",-37.632512957,176.176281425,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001002,1002,,Arawata Avenue - Owens Park,"27 Arawata Avenue, Welcome Bay, Tauranga",-37.725239911,176.197798236,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001005,1005,,Argyll Road - Carlisle Street,"68 Argyll Road, Greerton, Tauranga",-37.732772077,176.130735213,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001006,1006,,Argyll Road - Lumsden Street,"100 Argyll Road, Greerton, Tauranga",-37.731467018123,176.12820730481,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001008,1008,,Beaumaris Boulevard - Scotney Mews,"17 Beaumaris Boulevard, Bethlehem, Tauranga",-37.699914384,176.11540954,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001009,1009,,Beaumaris Boulevard - Harlech Glen,"33 Beaumaris Boulevard, Bethlehem, Tauranga",-37.698492288,176.116584255,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001010,1010,,Beaumaris Park,"65 Beaumaris Boulevard, Bethlehem, Tauranga",-37.696956822,176.117929012,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001011,1011,,Beaumaris Boulevard - Kinloch Drive,"123 Beaumaris Boulevard, Bethlehem, Tauranga",-37.69674,176.12135,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001012,1012,,Beaumaris Boulevard - Caernarvon Rise,"28 Beaumaris Boulevard, Bethlehem, Tauranga",-37.700134087,176.11541042,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001013,1013,,Brookfield - Bellevue Road (Stand A),"89 Bellevue Road, Brookfield, Tauranga",-37.689638405,176.134504974,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001014,1014,,Brookfield - Bellevue Road (Stand B),"94 Bellevue Road, Brookfield, Tauranga",-37.689585633,176.134127158,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001015,1015,,Bellevue Road - Regent Street,"138 Bellevue Road, Brookfield, Tauranga",-37.687450565,176.131225477,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001016,1016,,Bellevue Road - Upland Street,"178A Bellevue Road, Bellevue, Tauranga",-37.685482022,176.128501512,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001017,1017,,Bellevue Road - Windsor Road,"167 Bellevue Road, Bellevue, Tauranga",-37.685407444,176.128579291,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001018,1018,,Bellevue Road - Brookfield Terrace,"135 Bellevue Road, Brookfield, Tauranga",-37.687375374,176.131304567,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001019,1019,,Bethlehem Heights - Kildonan Place,"88 Bethlehem Heights, Bethlehem, Tauranga",-37.698748839,176.120424787,BOP00_1A,,0,,Pacific/Auckland,,,0,
20001020,1020,,Bethlehem Heights - Sissinghurst Court,"52 Bethlehem Heights, Bethlehem, Tauranga",-37.69965716,176.118632392,BOP00_1A,,0,,Pacific/Auckland,,,0,
